S:NO,Comment
908,"I had made butter chicken today, it turn out to be so delicious 🤤❤Thank you for the receipe ❤God bless u❤❤"
909,I love this recipe I will try right now and I also love this background music I Love it
910,Would favorite dish your dish simple but lajabab
911,KFC chicken ki recipe dikhana ek bar
912,This came out really good. If making a huge serving with like 6kg of chicken what masalas should you increase?
913,Ur so cute.  Love it ...tried it everyone loved it
914,This is the best best best recipe ever I prepared this now in sheffield it’s so amazing restaurant style you are our saviour in England when we miss Indian dishes 💟😍
915,"Tried this recipe today,it turned out realy good"
916,Wow! Looks delicious
917,I made this yesterday for my guest and it&#39;s turns out superb everyone loved it thank you so much chief for sharing this super tasty recipes 😊
918,Sir few days ago I made this ur this butter chicken nd it&#39;s really really so amazing my family members also enjoy ur recipe thnq sir for giving ur recipe it&#39;s really helpful for all 💗☺️lots of love nd blessings ☺️
919,Awesome
920,"<a href=""https://youtu.be/E3C3dWLvXbM"">https://youtu.be/E3C3dWLvXbM</a>"
921,Bhindi recipe banana bataen
922,"If I want to marinate the chicken overnight, is it good to keep it in room temperature or in d fridge?"
923,"Sir, You are Genius.Thanks for give us a nice recipe 🙏"
924,Hi Chef - what would b the alternative for cashew if someone if allergic to nuts
925,Woow
926,4th time making this today for friends coming over from another city. Thanks YFL team and chef Sanjyot for this blessing in disguise.
927,I made yesterday it was amazing and <br> saviour.<br>Thank you
928,"Chef, i tried your recipe today. Awesome taste, loved by family and friends. Thank you.🙏"
929,I LOOOOOVVVVVEEEEEE BUTTERRR CHICCKENNN SOOOO SOOOO MUCHHHHH... AND AFTER WATCHING THE VID I REALLY WANT TO HAVE ITTTTTTT😍😍😍😍😍😍😍
930,Tum kamaal ho
931,🤩🤩
932,Love your recipes  please make dum aloo
933,As I am a vegetarian Can i substitute chicken with the Paneer ?
934,Just perfect.. Always
935,Hi made this receipe today for lunch. It has turned out super delicious. The recipe is explained with minute details. Great job Sanjyot
936,"just made BCB as per your recipe, but the color came dark red and not golden yellow . added jaggery instead of sugar or honey"
937,Unbelievable... kitne pyaar se banaya without mess!! Wha!! Tonight I am going to cook this for 12 people
938,"I saw many celebrity chefs cooking style and their content presentation. But you represent it so elegantly yet simple. The way you cook and they way you handle every element of recipe, give feeling as if it is alive and you love them and care. I am in love with your cooking and presentation style. And ofcourse , the dish came out amazing. Finger licking. I cooked listening to same song you played. You made me miss my wife."
939,I tried this recipe and my family really enjoyed it😋😋
940,"I have tried many butter chicken recipes before but this one is the best, hands down!!"
941,This is probably my 20th time revisiting this amazing recipe. Thank you🔥
942,"I have also cooking good butter chicken but when I saw your video, I felt in love while watching. I will make this version tomorrow. God bless you man"
943,"We Indians add so much of oil in our cooking. Wouldn&#39;t that be harmful for health? We add mustard oil, then refined oil then butter n ghee, wouldn&#39;t that be just too much of saturated or unsaturated fats...just wish that we reduce the use of too much oil for health sake in most of the cook shows"
944,Awesome recipe maine khud Ghar pe banaya sabko pasand aaya 👍👌to good recipe n all recipe I&#39;ll be try 👍
945,Sir a question why didn&#39;t u strain the onions that u added in the last before adding the gravy?
946,"<a href=""https://youtu.be/thfCEAaOPGc"">https://youtu.be/thfCEAaOPGc</a>"
947,Aaj se aap mere recipe master ho
948,I cant believe i could cook such tasty butter chicken. My husband loves butter chicken and each time i make this he loves me a bit more..
949,Thank you so much bro I just cooking it right low
950,Best one
951,Thank you for your delicious recipe. I tried it and it’s became so tasty my family enjoyed a lot 🙏
952,Tried today. Thanks for explaining each minor detail. It was super delicious. All credit goes to you!!
953,I’ve made it a few times already. Turns out yum each time. The best butter chicken recipe on the planet.
954,Just tell me are you single?
955,Followed this recipe to the t and the results were lipsmacking! I cooked butter chicken first time and nailed it..all thanks to you YFL.. THANK YOU
956,This is honestly better than restaurant butter chicken! Just amazing
957,"5 seconds into your wonderful recipe, there was an advert for Urban clap Toilet cleaning services, I&#39;m very sorry to not be sorry but must you have such an advert heavy channel?! This viewing was very distasteful. Many regards and much respect to you. <br>Bawa Revant Singh."
958,Recipe achi but long hai .
959,My girlfriend has made this multiple times and it always turns out to be very delicious. Also she loves the background song a lot. Thank you for your efforts. We appreciate your talent. 😊
960,"I m going to try today, it&#39;s look very delicious 😋"
961,wow
962,Can we add sugar or honey to eat
963,Mushroom chilli
964,Aaj mene battar chicken 🍗 banaya  👌😋Yami bana tha
965,The song choice made me laugh
966,I have tried this recipe. And oh my god every time I make it people lick their bowls off!! This is best ever! Thankk youuu chef for the recipe ❤️❤️ love from Melbourne 🇦🇺
967,You go very fast at important times
968,"What a recipe , I&#39;m the star butter chicken cook in the house now.<br>Thanks."
969,🙏😄👌🥰
970,So beautiful ❤️ the background music is so relieving 🥰♥️
971,Mazha aa Gaya...
972,mouthwatering..😋
973,Thank you so much 🙏<br>Main ne aaj aap ki yeh butter chicken recipe banai hai ghar main sab ko bahut bahut pasand ayi hai main ne bahut bar butter chicken banaya hai magar yeh sab ko bahut pasand aya hai<br>Thank you so much chief
974,Have made it 5 times already and making it today. This is my go to item when guests are there. You rock boss.
975,Haayee...🥲
976,You are too good seriously.. The way you explain your recipe I just love it..right now am trying your this recipe.
977,"Mind blowing content! Enjoyed every sec of the recipe, definitely would try it some day :)"
978,Omg!mouth watering ….so temptations .😍😄
979,&quot;&quot;You&quot;&quot; are AWESOME.
980,I was feeling low. You cured me. Thanks 👍 😊 🫂.
981,"You are just amazing, hats off to your efforts 👌"
982,Don’t like
983,"Today I made this recipe. It was really yummy awasome 😋😋😋😋😋 my hubby, my friends they just love butter chicken. Thank you for sharing recipe 🥰🥰🤩🤩🤩🤩"
984,Sir.. which is the mixer grinder you are using.??
985,I make it ...just awesome  yummy
986,"I don&#39;t what everyone else just saw, I saw pure food romance and intense love, maybe living to eat is not a bad idea at all.<br>And later that day I tried it, dopamine blast 💥"
987,I tried your recipe yesterday for dinner and it was fantastic. Received compliments from my family.  Thank you for sharing your wonderful recipes.
988,Nice 👍
989,I will must try it at my home
990,very recipe is your best god glesss
991,Super.....bhai
992,Oh tere pendilan
993,I tried this recipe last night<br>And oh my goddddd my friends loved it so much 😍 It was so good can’t express in words !! Too good👍🏼 <br><br>Thanks for the recipe 😁
994,Made this recipe last night and Omg results were amazing. My husband loved it. He was making noises with each bite which made me so happy. Thanks a lot. I have been following your recipes since years and none of it has failed. Keep uploading more😁
995,"Ur recipes our just awesome 👏 <br><a href=""https://youtube.com/shorts/r1uQlR7jIrE?feature=share"">https://youtube.com/shorts/r1uQlR7jIrE?feature=share</a>"
996,Bhauth accha pakaya aap na arshi aapa hum ha musheer
997,Can i get your garam masala recipe
998,Asked my cook to make this and he ruined it completely and made a ginger soup :(
999,Thank you so much chef for this awesome recipe.. I made it today and to my surprise it is tasting just like restaurant🥰😋
